Date,Close,TWD,TAIEX,SOX,TAIBOR,DIJA
2009-01-05,46.02,33,4698.31,223.29,1.02,8952.89
2009-01-06,45.37,33.1,4727.26,234.56,1.02,9015.1
2009-01-07,44.33,33.03,4789.84,223.12,1.02,8769.7
2009-01-08,41.34,33.1,4535.79,222.54,0.62,8742.46
2009-01-09,40.8,33.2,4502.74,215.28,0.62,8599.18
2009-01-10,40.8,33.25,4467.53,209.09,0.62,8473.97
2009-01-12,41.44,33.25,4453.9,209.09,0.62,8473.97
2009-01-13,43.58,33.23,4532.36,210.79,0.62,8448.56
2009-01-14,42.79,33.2,4521.47,202.01,0.62,8200.14
2009-01-15,40.8,33.37,4320.77,207.07,0.62,8212.49
2009-01-16,41.49,33.35,4353.7,214.42,0.62,8281.22
2009-01-17,41.24,33.52,4366.1,199.07,0.62,7949.09
2009-01-19,40.8,33.52,4366.76,199.07,0.62,7949.09
2009-01-20,39.4,33.73,4242.61,199.07,0.62,7949.09
2009-01-21,40,33.58,4247.97,205.18,0.62,8228.1
2009-02-02,41.59,33.71,4259.98,210.52,0.62,7936.83
2009-02-03,42.64,33.72,4372.81,210.83,0.62,8078.36
2009-02-04,42.69,33.66,4389.97,212.75,0.61,7956.66
2009-02-05,42.19,33.63,4363.25,221.31,0.61,8063.07
2009-02-06,44.48,33.6,4471.25,229.18,0.61,8280.59
2009-02-09,45.27,33.71,4494.59,227.81,0.61,8270.87
2009-02-10,44.63,33.95,4526.1,217.33,0.61,7888.88
2009-02-11,45.82,33.97,4575.95,215.11,0.61,7939.53
2009-02-12,45.12,34.02,4466.42,217.9,0.61,7932.76
2009-02-13,45.72,34.03,4592.5,220.55,0.61,7850.41
2009-02-16,45.62,34.27,4591.26,205.87,0.61,7552.6
2009-02-17,43.58,34.58,4491.78,205.87,0.61,7552.6
2009-02-18,44.38,34.62,4498.37,206.86,0.61,7555.63
2009-02-19,45.17,34.58,4528.87,196.09,0.57,7465.95
2009-02-20,43.68,34.8,4436.94,197.28,0.57,7365.67
2009-02-23,44.78,34.61,4477.78,189.11,0.57,7114.78
2009-02-24,43.78,34.65,4430.18,199.1,0.57,7350.94
2009-02-25,44.48,34.78,4493.74,205.07,0.57,7270.89
2009-02-26,44.78,34.84,4518.56,201.47,0.57,7182.08
2009-02-27,44.73,34.98,4557.15,199,0.57,7062.93
2009-03-02,44.53,35.21,4425.83,188.97,0.57,6763.29
2009-03-03,44.38,35.08,4435.34,191.49,0.57,6726.02
2009-03-04,45.77,35.06,4541.42,200.27,0.57,6875.84
2009-03-05,46.37,34.93,4637.2,197.25,0.57,6594.44
2009-03-06,48.26,34.66,4653.63,195.01,0.57,6626.94
2009-03-09,48.01,34.81,4628.24,190.47,0.57,6547.05
2009-03-10,46.92,34.59,4671.02,205.84,0.57,6926.49
2009-03-11,48.46,34.5,4759.96,210.02,0.53,6930.4
2009-03-12,48.01,34.4,4754.65,217.37,0.53,7170.06
2009-03-13,49.25,34.49,4897.39,220.11,0.53,7223.98
2009-03-16,49.75,34.4,4971.32,212.16,0.53,7216.97
2009-03-17,49.75,34.12,5041.39,220.91,0.56,7395.7
2009-03-18,50.15,34.16,5047.54,228.52,0.53,7486.58
2009-03-19,48.96,33.9,5035.93,226.61,0.53,7400.8
2009-03-20,47.46,33.8,4961.62,218.71,0.52,7278.38
2009-03-23,50.05,33.73,5124.18,234.45,0.52,7775.86
2009-03-24,52.14,33.83,5242.18,228.4,0.52,7659.97
2009-03-25,51.94,33.8,5346.38,231.49,0.52,7749.81
2009-03-26,51.44,33.72,5386.56,245.17,0.52,7924.56
2009-03-27,51.64,33.91,5390.7,240.07,0.52,7776.18
2009-03-30,51.74,34.08,5206.05,229.45,0.52,7522.02
2009-03-31,51.14,33.9,5210.84,230.91,0.52,7608.92
2009-04-01,50.45,33.72,5314.45,233.87,0.53,7761.6
2009-04-02,52.14,33.13,5473.78,243.88,0.52,7978.08
2009-04-03,52.34,33.3,5529.63,251.04,0.53,8017.59
2009-04-06,52.14,33.21,5556.22,245.38,0.52,7975.85
2009-04-07,51.84,33.6,5576.85,235.9,0.53,7789.56
2009-04-08,49.95,33.88,5443.56,242.71,0.53,7837.11
2009-04-09,52.14,33.74,5667.8,254.41,0.52,8083.38
2009-04-10,52.74,33.78,5781.96,250.6,0.52,8057.81
2009-04-13,52.44,33.68,5857.64,250.6,0.52,8057.81
2009-04-14,52.24,33.61,5892.68,250,0.52,7920.18
2009-04-15,51.74,33.78,5875.19,246.23,0.52,8029.62
2009-04-16,51.04,33.8,5997.17,254.5,0.52,8125.43
2009-04-17,50.15,33.81,5755.38,254.81,0.52,8131.33
2009-04-20,51.64,33.82,5781.66,240.19,0.52,7841.73
2009-04-21,51.34,33.85,5881.41,240.66,0.52,7969.56
2009-04-22,50.45,33.85,5886.11,251.08,0.53,7886.57
2009-04-23,51.04,33.81,5875.24,249.36,0.53,7957.06
2009-04-24,50.25,33.69,5880.77,253.65,0.53,8076.29
2009-04-27,50.25,33.72,5705.05,250.8,0.53,8025
2009-04-28,50.75,33.79,5596.73,246.67,0.53,8016.95
2009-04-29,51.34,33.64,5614.06,251.55,0.53,8185.73
2009-04-30,54.93,33.06,5992.57,258.54,0.52,8168.12
2009-05-04,58.71,32.99,6330.4,272.31,0.52,8426.74
2009-05-05,57.71,33.02,6379.94,268.7,0.52,8410.65
2009-05-06,57.21,33.14,6566.7,270.61,0.52,8512.28
2009-05-07,56.22,33.11,6572.87,254.55,0.52,8409.85
2009-05-08,56.02,33.01,6583.87,249.65,0.52,8574.65
2009-05-11,55.92,32.87,6647.5,248.86,0.52,8418.77
2009-05-12,55.12,32.83,6432.55,242.53,0.52,8469.11
2009-05-13,56.12,32.88,6485.14,236.8,0.52,8284.89
2009-05-14,54.23,32.88,6364.17,244.38,0.52,8331.32
2009-05-15,54.53,32.92,6489.09,242.28,0.52,8268.64
2009-05-18,55.72,32.98,6577.81,251.28,0.53,8504.08
2009-05-19,56.72,32.85,6655.59,256.33,0.52,8474.85
2009-05-20,55.92,32.72,6703.62,256.99,0.52,8422.04
2009-05-21,56.32,32.59,6718.81,250.4,0.52,8292.13
2009-05-22,55.92,32.55,6737.29,250.46,0.52,8277.32
2009-05-25,55.42,32.54,6734.46,259.82,0.52,8473.49
2009-05-26,56.32,32.63,6683.11,259.82,0.52,8473.49
2009-05-27,60.1,32.62,6890.44,263.94,0.52,8300.02
2009-06-01,58.71,32.21,6954.1,285.71,0.52,8721.44
2009-06-02,59.6,32.38,6949.08,276.29,0.53,8740.87
2009-06-03,59.5,32.49,6893.14,270.18,0.53,8675.28
2009-06-04,57.61,32.58,6786.06,275.99,0.53,8750.24
2009-06-05,57.11,32.64,6767.1,270.74,0.55,8763.13
2009-06-06,57.41,32.9,6856.74,270.59,0.53,8764.49
2009-06-08,56.32,32.9,6628.02,270.59,0.53,8764.49
2009-06-09,55.82,32.72,6414.39,282.64,0.53,8763.06
2009-06-10,57.91,32.75,6462.27,283.2,0.52,8739.02
2009-06-11,58.01,32.71,6567.37,279.74,0.53,8770.92
2009-06-12,55.72,32.78,6448.23,274.79,0.53,8799.26
2009-06-15,53.03,32.94,6225.56,270.5,0.53,8612.13
2009-06-16,53.33,32.87,6220.81,263.71,0.52,8504.67
2009-06-17,51.74,32.86,6195.91,266.16,0.52,8497.18
2009-06-18,52.44,32.89,6144.53,261.27,0.52,8555.6
2009-06-19,52.04,32.88,6231.15,264.47,0.52,8539.73
2009-06-22,52.74,32.89,6341.21,254.6,0.55,8339.01
2009-06-23,51.04,32.84,6197.47,253.66,0.55,8322.91
2009-06-24,52.64,32.86,6380.08,258.08,0.55,8299.86
2009-06-25,53.43,32.9,6457.61,263.26,0.55,8472.4
2009-06-26,54.13,32.95,6463.56,263.05,0.55,8438.39
2009-06-29,53.13,32.9,6391.15,262.92,0.55,8529.38
2009-06-30,54.43,32.84,6432.16,263.15,0.56,8447
2009-07-01,54.73,32.69,6578.97,267.02,0.56,8504.06
2009-07-02,54.83,32.9,6667.53,263.81,0.56,8280.74
2009-07-03,54.73,32.87,6665.4,260.24,0.56,8324.87
2009-07-06,54.13,32.98,6649.91,260.24,0.16,8324.87
2009-07-07,55.12,32.96,6715.22,252.73,0.16,8163.6
2009-07-08,54.13,33.05,6668.14,250.94,0.16,8178.41
2009-07-09,55.02,32.95,6748.18,257.95,0.16,8183.17
2009-07-10,55.82,33.04,6769.86,259.04,0.16,8146.52
2009-07-13,54.73,33.13,6530.82,265.29,0.16,8331.68
2009-07-14,55.52,33.1,6639.41,269.61,0.16,8359.49
2009-07-15,53.6,32.86,6738.6,281.56,0.16,8616.21
2009-07-16,54.1,32.87,6780.3,287,0.16,8711.82
2009-07-17,54,32.83,6850.99,290.49,0.16,8743.94
2009-07-20,54.8,32.75,6938.86,294.13,0.16,8848.15
2009-07-21,55.5,32.77,6953.34,293.97,0.16,8915.94
2009-07-22,55.3,32.83,6985.32,301.77,0.16,8881.26
2009-07-23,56.5,32.74,6980.88,304.72,0.16,9069.29
2009-07-24,57.2,32.81,6973.28,300.88,0.16,9093.24
2009-07-27,57.6,32.85,7028.43,302.64,0.16,9108.51
2009-07-28,57.9,32.74,7142.63,303.25,0.16,9096.72
2009-07-29,56.5,32.86,7083.63,300.65,0.16,9070.72
2009-07-30,56,32.8,7027.11,301.05,0.16,9154.46
2009-07-31,58.9,32.8,7077.71,301.74,0.16,9171.61
2009-08-03,58.3,32.67,7056.71,307.02,0.16,9286.56
2009-08-04,57.6,32.65,6955.87,307.22,0.16,9320.19
2009-08-05,56.9,32.68,6848.24,303.86,0.16,9280.97
2009-08-06,56.8,32.73,6868.65,299.84,0.16,9256.26
2009-08-10,57.8,32.78,6882.87,294.95,0.16,9337.95
2009-08-11,57.1,32.91,6909.02,290.74,0.17,9241.45
2009-08-12,57.5,32.83,6898.9,295.88,0.17,9361.61
2009-08-13,58.6,32.87,7034.96,302.36,0.17,9398.19
2009-08-14,58.9,32.92,7069.51,294.65,0.17,9321.4
2009-08-17,57.8,32.98,6931.8,285.92,0.17,9135.34
2009-08-18,57.6,32.94,6789.77,291.67,0.17,9217.94
2009-08-19,57.4,32.95,6788.58,293.42,0.17,9279.16
2009-08-20,57.7,32.93,6733.23,296.41,0.18,9350.05
2009-08-21,56.8,32.84,6654.8,301.3,0.18,9505.96
2009-08-24,58.4,32.86,6838.25,298.95,0.18,9509.28
2009-08-25,58.7,32.9,6809.41,300.53,0.18,9539.29
2009-08-26,59,32.98,6719.21,302.99,0.17,9543.52
2009-08-27,58.8,32.89,6690.75,303.76,0.17,9580.63
2009-08-28,59.5,32.88,6809.86,311.18,0.17,9544.2
2009-08-31,59.2,32.9,6825.95,306.18,0.17,9496.28
2009-09-01,61,32.86,7019.75,298.64,0.17,9310.6
2009-09-02,59.6,32.85,7039.77,297.4,0.17,9280.67
2009-09-03,59.8,32.83,7104.65,301.65,0.17,9344.61
2009-09-04,60,32.84,7153.13,309.74,0.17,9441.27
2009-09-07,62,32.85,7224.59,316.72,0.17,9497.34
2009-09-08,62.7,32.65,7313.99,316.72,0.17,9497.34
2009-09-09,62,32.68,7250.72,320.13,0.17,9547.22
2009-09-10,63.5,32.64,7332.08,325.82,0.17,9627.48
2009-09-11,62.4,32.63,7337.14,321.24,0.17,9605.41
2009-09-14,61.5,32.61,7256.95,322.7,0.17,9626.8
2009-09-15,62.5,32.57,7346.26,325.48,0.17,9683.41
2009-09-16,62.7,32.39,7440.24,326.84,0.17,9791.71
2009-09-17,62.5,32.41,7477.3,321.33,0.17,9783.92
2009-09-18,62.7,32.4,7526.55,326.48,0.17,9820.2
2009-09-21,62.3,32.39,7502.46,326.4,0.17,9778.86
2009-09-22,62.5,32.32,7469.03,329.33,0.17,9829.87
2009-09-23,62.3,32.34,7376.76,331.05,0.17,9748.55
2009-09-24,60.8,32.39,7324.22,323.04,0.17,9707.44
2009-09-25,61.1,32.39,7345.22,321.05,0.17,9665.19
2009-09-28,60.7,32.4,7284.61,327.67,0.17,9789.36
2009-09-29,63.7,32.46,7429.98,323,0.17,9742.2
2009-09-30,64.5,31.98,7509.17,325.75,0.17,9712.28
2009-10-01,65,32.14,7545.29,309.97,0.17,9509.28
2009-10-02,62.7,32.28,7411.88,306.59,0.17,9487.67
2009-10-05,62,32.11,7437.98,313.09,0.17,9599.75
2009-10-06,62.4,32.07,7536.05,319.58,0.17,9731.25
2009-10-07,62.1,32.05,7608.66,317.64,0.17,9725.58
2009-10-08,60.9,32.08,7503.31,316.06,0.17,9786.87
2009-10-09,61.1,32.29,7571.96,326.44,0.17,9864.94
2009-10-12,61.2,32.2,7599.88,331.01,0.17,9885.8
2009-10-13,61.8,32.29,7596.6,330,0.17,9871.06
2009-10-14,63.5,32.22,7695.75,334.51,0.17,10015.86
2009-10-15,63.8,32.25,7710.4,329.78,0.17,10062.94
2009-10-16,61.9,32.3,7715.1,322.83,0.17,9995.91
2009-10-19,61.4,32.31,7751.32,327.61,0.17,10092.19
2009-10-20,62,32.27,7753.52,326.87,0.17,10041.48
2009-10-21,61.6,32.35,7701.5,322.67,0.17,9949.36
2009-10-22,61.8,32.45,7607.93,326.84,0.17,10081.31
2009-10-23,61.5,32.39,7649.28,316.41,0.17,9972.18
2009-10-26,61.5,32.47,7668.4,317.44,0.17,9867.96
2009-10-27,61.3,32.43,7657.34,309.44,0.17,9882.17
2009-10-28,60.5,32.54,7533.95,300.78,0.17,9762.69
2009-10-29,60.3,32.44,7355.69,307.26,0.17,9962.58
2009-10-30,60,32.63,7340.08,296.61,0.17,9712.73
2009-11-02,59.8,32.56,7335.18,297.37,0.17,9789.44
2009-11-03,59.2,32.53,7322.93,293.48,0.17,9771.91
2009-11-04,59.6,32.45,7467.04,295.31,0.17,9802.14
2009-11-05,59.7,32.47,7417.46,302.96,0.17,10005.96
2009-11-06,60,32.51,7463.05,301.76,0.17,10023.42
2009-11-09,60,32.3,7536.7,311.26,0.17,10226.94
2009-11-10,60.5,32.36,7593.49,311.52,0.17,10246.97
2009-11-11,62.2,32.37,7668.06,315.76,0.17,10291.26
2009-11-12,62.2,32.35,7670.93,314,0.17,10197.47
2009-11-13,61.8,32.18,7665.63,317.5,0.17,10270.47
2009-11-16,62.4,32.03,7792.68,323.83,0.17,10406.96
2009-11-17,62.6,32.13,7733.21,324.3,0.17,10437.42
2009-11-18,62.9,32.12,7766.69,321.53,0.17,10426.31
2009-11-19,62.9,32.37,7759.98,310.5,0.17,10332.44
2009-11-20,61.7,32.38,7682.97,307.97,0.17,10318.16
2009-11-23,62,32.21,7687.15,311.52,0.17,10450.95
2009-11-24,62.4,32.2,7714.56,312.5,0.17,10433.71
2009-11-25,62.7,32.19,7756.31,315.09,0.17,10464.4
2009-11-26,62,32.26,7739.16,309.82,0.17,10309.92
